CIN_ID,BLOG_CAFE_CIN_KWD,NAVER_CAFE_NCNT,NAVER_CAFE_VIEW_NCNT,NAVER_CAFE_REP_NCNT
mv20190509001,걸캅스,73,11809,353
mv20190509002,고양이 여행 리포트,123,5382,226
mv20190509003,라플라스의 마녀,40,2175,116
mv20190509005,명탐정 피카츄,61,17442,419
mv20190509006,벤이즈백,23,1696,57
mv20190509007,에이프릴의 딸,9,1116,36
mv20190515001,물의 기억,11,513,12
mv20190515002,영화 배심원들,242,28096,1125
mv20190515003,영화 악인전,105,35240,565
mv20190516001,각오는 됐나 거기 여자,1,124,2
mv20190516002,영화 교회오빠,52,13474,211
mv20190516003,나의 히어로 아카데미아 더 무비 두 명의 히어로,5,364,0
mv20190516004,논-픽션,9,542,17
mv20190516005,영화 로지,14,859,36
mv20190516006,영화 몬스터 랜드,2,65,2
mv20190516007,서스페리아,55,13852,240
mv20190522001,뷰티풀 보이스,29,2253,66
mv20190522002,어린 의뢰인,125,19222,505
mv20190523001,영화 김군,37,3395,75
mv20190523002,영화 너의 목소리,10,399,33
mv20190523003,영화 더 보이,48,11180,195
mv20190523004,돈키호테를 죽인 사나이,37,1516,86
mv20190523005,영화 로제타,7,397,11
mv20190523007,시민 노무현,22,1023,63
mv20190523008,영화 알라딘,221,97368,2085
mv20190523009,언더 더 씨 2,1,61,5
mv20190523010,해피타임 스파이,24,1540,106
mv20190524001,기동전사 건담 내러티브,1,73,1
mv20190529001,0.0mhz,30,17661,202
mv20190529002,고질라?킹오브몬스터,58,17488,436
mv20190529003,보희와 녹양,35,2477,67
mv20190529004,영화 우리 지금 만나,12,674,25
mv20190529005,파리의 딜릴리,40,3090,166
mv20190530002,소은이의 무릎,2,119,10
mv20190530003,아녜스가 말하는 바르다,19,888,73
mv20190530004,아이 아이 가사 다시 만난 그날,12,520,51
mv20190530005,영화 옹알스,7,526,11
mv20190530006,피터팬 후크 선장과 결투의 날,5,410,5
mv20190605001,영화 로켓맨,140,12680,778
mv20190605002,엑스맨 다크 피닉스,86,15674,571
mv20190606001,글로리아 벨,13,1034,57
mv20190606002,영화 닥치고 피아노,14,822,37
mv20190606003,빅샤크2 해저2만리,1,185,1
mv20190606004,영화 폴라로이드,7,595,46
mv20190606005,하나레이 베이,22,1184,50
mv20190612001,맨 인 블랙 인터내셔널,51,6417,302
mv20190613001,극장판 오소마츠 6쌍둥이,6,513,24
mv20190613002,영화 블랙 47,2,40,2
mv20190613003,세상을 바꾼 변호인,44,2488,154
mv20190613004,영화 업사이드,117,4192,293
mv20190613005,엘리펀트킹 덤보,5,222,13
mv20190613010,평일 오후 3시의 연인,16,1022,36
mv20190619001,롱 리브 더 킹 목포 영웅,74,9709,348
mv20190620001,검은 여름,2,51,4
mv20190620002,영화 북클럽,29,1330,103
mv20190620003,영화 비블리아 고서당 사건수첩,11,443,29
mv20190620004,사탄의 인형 2019,2,424,33
mv20190620005,영화 쓰리 세컨즈,26,1574,43
mv20190620006,영화 에움길,5,593,15
mv20190620008,토이 스토리 4,91,34469,574
mv20190620009,퍼펙트 타겟,5,275,12
mv20190620010,하우스 오브 투모로우,7,246,21
mv20190620011,행복한 라짜로,60,3948,192
mv20190626001,마담 싸이코,62,4641,262
mv20190626002,영화 비스트,107,10362,387
mv20190626003,애나벨 집으로,22,4159,100
mv20190626004,존 윅 3 파라벨룸,34,7682,194
mv20190627001,쁘띠 아만다,22,916,47
mv20190627004,영화 스트롱거,9,725,16
mv20190627005,트리트 미 라이크 파이어,15,1190,26
mv20190702001,스파이더맨 파프롬홈,107,20072,443
mv20190703001,귀신의 향기,1,132,1
mv20190704001,13년의 공백,27,1401,52
mv20190704002,갤버스턴,54,2241,152
mv20190704003,동명이인 프로젝트 시즌2,15,2018,69
mv20190704005,별의 정원,8,561,22
mv20190704006,칠드런 액트,51,2312,142
mv20190704007,한낮의 피크닉,35,2532,66
mv20190710001,기방도령,109,7890,335
mv20190710002,영화 진범,89,12144,251
mv20190711001,엉덩이 탐정 화려한 사건 수첩,2,221,19
mv20190711002,난폭한 기록,39,3433,168
mv20190711003,마리아 칼라스 세기의 디바,16,705,11
mv20190711004,우리는 언제나 성에 살았다,22,926,79
mv20190711005,영화 zoe,5,380,13
mv20190717001,나이트메어 시네마,23,1501,67
mv20190717003,영화 사일런스,21,1612,79
mv20190718001,샤이닝스타 새로운 루나퀸의 탄생,10,1545,56
mv20190718002,꼬마 물고기 이자벨,7,402,11
mv20190718003,발광하는 현대사,13,3579,88
mv20190718004,수영장으로 간 남자들,28,1257,93
mv20190718005,이케아 옷장에서 시작된 특별난 여행,44,3284,115
mv20190724001,영화 나랏말싸미,176,15402,757
mv20190724002,롱 샷,111,6159,290
mv20190724003,명탐정 코난 감청의 권,25,9853,133
mv20190725001,굿바이 썸머,9,1514,16
mv20190725002,그녀들을 도와줘,22,998,65
mv20190725003,돈 워리,39,2123,134
mv20190725004,레드슈즈,232,26084,995
mv20190725007,주전장,96,12810,92
mv20190725008,지구 최후의 밤,10,2158,41
mv20190725009,캘리포니아 타이프라이터,3,139,8
mv20190725011,파리 에듀케이션,1,51,3
mv20190731001,데드 돈 다이,14,1219,43
mv20190731002,마이펫의 이중생활2,54,13464,320
