mv_id|title|like_mean_2|like_sum_2|dislike_mean_2|dislike_sum_2|like_mean_3|like_sum_3|dislike_mean_3|dislike_sum_3|like_sum_total|dislike_sum_total
mv20190508001|메기의 추억|0.8666666666666667|13.0|0.0|0.0|0.0|0.0|0.0|0.0|13|0
mv20190508002|호텔 뭄바이|13.99836333878887|8553.0|1.5646481178396072|956.0|2.1525974025974026|663.0|1.1103896103896105|342.0|9216|1298
mv20190509001|걸캅스|20.65354371177468|803712.0|17.208382587243666|669647.0|4.463448275862069|6472.0|3.4627586206896552|5021.0|810184|674668
mv20190509002|고양이 여행 리포트|4.953488372093023|639.0|0.937984496124031|121.0|1.4090909090909092|31.0|0.045454545454545456|1.0|670|122
mv20190509003|라플라스의 마녀|3.32967032967033|303.0|2.5824175824175826|235.0|0.8333333333333334|5.0|0.8333333333333334|5.0|308|240
mv20190509004|매트리악|7.208333333333333|173.0|7.708333333333333|185.0|3.0|18.0|4.833333333333333|29.0|191|214
mv20190509005|명탐정 피카츄|8.224937343358397|13127.0|1.9154135338345866|3057.0|0.51953125|133.0|0.21875|56.0|13260|3113
mv20190509006|벤 이즈 백|3.2686567164179103|219.0|0.7313432835820896|49.0|0.5714285714285714|4.0|0.0|0.0|223|49
mv20190509007|에이프릴의 딸|3.2777777777777777|59.0|2.388888888888889|43.0|1.0|1.0|0.0|0.0|60|43
mv20190509008|우이 러브|||||||||0|0
mv20190509009|해안가로의 여행|||||||||0|0
mv20190515001|물의 기억|7.544117647058823|513.0|5.147058823529412|350.0|1.0|2.0|1.5|3.0|515|353
mv20190515002|배심원들|||||||||0|0
mv20190515003|악인전|6.6294610778443115|55356.0|2.884550898203593|24086.0|1.0020338983050847|1478.0|0.6440677966101694|950.0|56834|25036
mv20190516001|각오는 됐나, 거기 여자|||||||||0|0
mv20190516002|교회오빠|12.506256015399423|12994.0|3.919153031761309|4072.0|2.745|549.0|1.54|308.0|13543|4380
mv20190516003|나의 히어로 아카데미아 더 무비: 두 명의 히어로|2.1586206896551725|313.0|0.5448275862068965|79.0|1.75|28.0|0.625|10.0|341|89
mv20190516004|논-픽션|3.891891891891892|144.0|1.2432432432432432|46.0|1.75|7.0|0.75|3.0|151|49
mv20190516005|로지|10.347826086956522|238.0|1.826086956521739|42.0|9.0|18.0|2.0|4.0|256|46
mv20190516006|몬스터 랜드|1.3636363636363635|15.0|0.8181818181818182|9.0|1.0|3.0|0.0|0.0|18|9
mv20190516007|서스페리아|9.911270983213429|4133.0|6.124700239808154|2554.0|2.2282608695652173|205.0|1.6521739130434783|152.0|4338|2706
mv20190516008|위대한 전진|||||||||0|0
mv20190516009|자칼|||||||||0|0
mv20190522001|뷰티풀 보이스|5.343283582089552|358.0|3.1940298507462686|214.0|1.5|12.0|1.25|10.0|370|224
mv20190522002|어린 의뢰인|10.496624879459981|10885.0|5.918997107039537|6138.0|2.9437751004016066|733.0|2.7590361445783134|687.0|11618|6825
mv20190523001|김군|15.899441340782124|2846.0|16.268156424581004|2912.0|6.923076923076923|270.0|12.692307692307692|495.0|3116|3407
mv20190523002|너의 목소리|3.611111111111111|65.0|2.0|36.0|1.5|3.0|0.0|0.0|68|36
mv20190523003|더 보이|||||||||0|0
mv20190523004|돈키호테를 죽인 사나이|1.6470588235294117|56.0|1.3529411764705883|46.0|0.2222222222222222|2.0|0.3333333333333333|3.0|58|49
mv20190523005|로제타|||||||||0|0
mv20190523006|비질란테|||||||||0|0
mv20190523007|시민 노무현|16.37704918032787|3996.0|16.061475409836067|3919.0|6.357142857142857|178.0|6.535714285714286|183.0|4174|4102
mv20190523008|알라딘|8.893937136898556|119410.0|0.9332638164754953|12530.0|2.3246806197336234|17105.0|2.3363685784180483|17191.0|136515|29721
mv20190523009|언더 더 씨2|4.666666666666667|420.0|5.377777777777778|484.0|0.6666666666666666|2.0|0.3333333333333333|1.0|422|485
mv20190523010|해피타임 스파이|5.354166666666667|257.0|4.229166666666667|203.0|0.42857142857142855|3.0|1.0|7.0|260|210
mv20190524001|기동전사 건담 내러티브|||||||||0|0
mv20190529001|0.0mhz|10.952092177077017|18060.0|5.691328077622802|9385.0|2.3333333333333335|224.0|1.59375|153.0|18284|9538
mv20190529002|고질라: 킹 오브 몬스터|6.522943365026871|15779.0|2.3869367507234394|5774.0|1.8795180722891567|312.0|0.5662650602409639|94.0|16091|5868
mv20190529003|보희와 녹양|9.426966292134832|839.0|1.5168539325842696|135.0|3.255813953488372|140.0|0.6046511627906976|26.0|979|161
mv20190529004|우리 지금 만나|2.9565217391304346|68.0|1.9565217391304348|45.0|1.8|9.0|1.0|5.0|77|50
mv20190529005|파리의 딜릴리|4.368421052631579|415.0|0.9263157894736842|88.0|0.6764705882352942|23.0|0.3235294117647059|11.0|438|99
mv20190530001|기생충 : 흑백판|20.491528709339743|528538.0|3.918698871786919|101075.0|3.536204448651207|7472.0|4.086606720302887|8635.0|536010|109710
mv20190530002|소은이의 무릎|5.578947368421052|106.0|2.736842105263158|52.0|1.0|3.0|1.3333333333333333|4.0|109|56
mv20190530003|아녜스가 말하는 바르다|2.2903225806451615|71.0|0.5483870967741935|17.0|0.75|3.0|0.0|0.0|74|17
mv20190530004|아이 아이 가사: 다시 만난 그날|0.3333333333333333|3.0|0.5555555555555556|5.0|0.5|1.0|0.0|0.0|4|5
mv20190530005|옹알스|6.890909090909091|379.0|11.4|627.0|4.857142857142857|34.0|7.142857142857143|50.0|413|677
mv20190530006|피터팬: 후크 선장과 결투의 날|2.1463414634146343|88.0|1.5609756097560976|64.0|||||0|0
mv20190601001|나는 원래 대전에서 로맨틱 코미디를 찍으려고 했었다|1.8|9.0|1.0|5.0|1.0|1.0|2.0|2.0|10|7
mv20190604001|죄와 벌|||||||||0|0
mv20190604002|플레이 오어 다이|||||||||0|0
mv20190605001|로켓맨|8.829139072847681|6666.0|3.3735099337748347|2547.0|2.7142857142857144|247.0|2.318681318681319|211.0|6913|2758
mv20190605002|엑스맨: 다크 피닉스|5.357047338860658|20030.0|2.4600160470714094|9198.0|2.0579710144927534|142.0|0.7101449275362319|49.0|20172|9247
mv20190606001|글로리아 벨|3.9|156.0|0.85|34.0|1.25|10.0|0.875|7.0|166|41
mv20190606002|닥치고 피아노!|0.625|15.0|0.5|12.0|||||0|0
mv20190606003|빅샤크2 : 해저2만리|3.2193548387096773|499.0|1.6838709677419355|261.0|1.6|8.0|0.0|0.0|507|261
mv20190606004|폴라로이드|3.4935064935064934|269.0|3.4545454545454546|266.0|0.2|1.0|0.4|2.0|270|268
mv20190606005|하나레이 베이|1.8636363636363635|41.0|1.0454545454545454|23.0|1.0|2.0|1.5|3.0|43|26
mv20190610001|공포의 신생아실|||||||||0|0
mv20190610002|엘프: 사탄의 인형|||||||||0|0
mv20190612001|맨 인 블랙: 인터내셔널|8.43960244648318|22078.0|4.783256880733945|12513.0|0.7757731958762887|301.0|0.6701030927835051|260.0|22379|12773
mv20190612002|파라노말 액티비티: 드림하우스|0.5|1.0|0.0|0.0|||||0|0
mv20190613001|극장판 오소마츠 6쌍둥이|4.536585365853658|372.0|2.3902439024390243|196.0|1.7857142857142858|25.0|5.428571428571429|76.0|397|272
mv20190613002|블랙 47|3.9|39.0|0.4|4.0|1.25|5.0|0.0|0.0|44|4
mv20190613003|세상을 바꾼 변호인|14.703971119133573|4073.0|5.859205776173285|1623.0|3.0833333333333335|148.0|0.9583333333333334|46.0|4221|1669
mv20190613004|업사이드|4.4476744186046515|765.0|1.686046511627907|290.0|0.9696969696969697|32.0|0.6363636363636364|21.0|797|311
mv20190613005|엘리펀트킹 덤보|1.375|22.0|1.375|22.0|0.0|0.0|0.0|0.0|22|22
mv20190613006|천로역정: 천국을 찾아서|10.639593908629442|6288.0|4.22165820642978|2495.0|3.1009615384615383|645.0|1.9903846153846154|414.0|6933|2909
mv20190613007|체 게바라: 1부 아르헨티나|4.758620689655173|138.0|4.724137931034483|137.0|3.0|6.0|3.0|6.0|144|143
mv20190613008|체 게바라: 2부 게릴라|4.214285714285714|59.0|5.142857142857143|72.0|2.0|2.0|2.0|2.0|61|74
mv20190613009|클로즈 에너미|||||||||0|0
mv20190613010|평일 오후 3시의 연인|6.7272727272727275|148.0|1.6818181818181819|37.0|0.8|4.0|0.6|3.0|152|40
mv20190614001|지구 최후의 날 2019|4.0|8.0|0.0|0.0|||||0|0
mv20190619001|롱 리브 더 킹: 목포 영웅|9.235133189344852|64138.0|6.699496040316775|46528.0|3.088023088023088|2140.0|2.3203463203463204|1608.0|66278|48136
mv20190620001|검은 여름|5.133333333333334|77.0|3.6|54.0|2.0|6.0|1.0|3.0|83|57
mv20190620002|북클럽|4.716981132075472|250.0|2.4150943396226414|128.0|0.26666666666666666|4.0|0.06666666666666667|1.0|254|129
mv20190620003|비블리아 고서당 사건수첩|1.6666666666666667|10.0|3.1666666666666665|19.0|||||0|0
mv20190620004|사탄의 인형|6.677350427350428|3125.0|3.4444444444444446|1612.0|1.5555555555555556|14.0|0.1111111111111111|1.0|3139|1613
mv20190620005|쓰리 세컨즈|4.029045643153527|971.0|0.4605809128630705|111.0|0.875|7.0|0.0|0.0|978|111
mv20190620006|에움길|12.783783783783784|473.0|5.72972972972973|212.0|0.8333333333333334|5.0|4.0|24.0|478|236
mv20190620007|완벽한 살인|2.36|59.0|3.12|78.0|1.0|1.0|0.0|0.0|60|78
mv20190620008|토이 스토리 4|9.084218659455283|47029.0|1.0150666409117248|5255.0|0.8646288209606987|594.0|0.1615720524017467|111.0|47623|5366
mv20190620009|퍼펙트 타겟|3.435483870967742|213.0|1.7096774193548387|106.0|2.9|29.0|1.4|14.0|242|120
mv20190620010|하우스 오브 투모로우|5.888888888888889|53.0|3.2222222222222223|29.0|||||0|0
mv20190620011|행복한 라짜로|6.1454545454545455|676.0|1.9181818181818182|211.0|1.9777777777777779|89.0|0.7333333333333333|33.0|765|244
mv20190626001|마담 싸이코|14.73972602739726|4304.0|3.5273972602739727|1030.0|1.25|55.0|1.8181818181818181|80.0|4359|1110
mv20190626002|비스트|5.479542719614922|9107.0|3.4187725631768955|5682.0|0.6540084388185654|155.0|0.16455696202531644|39.0|9262|5721
mv20190626003|애나벨 집으로|6.270310192023634|8490.0|2.0605612998522895|2790.0|0.551219512195122|113.0|0.24390243902439024|50.0|8603|2840
mv20190626004|존 윅 3: 파라벨룸|7.123080557524214|30152.0|1.8015591778880227|7626.0|0.8592436974789915|409.0|0.7163865546218487|341.0|30561|7967
mv20190627001|쁘띠 아만다|7.190476190476191|151.0|1.8095238095238095|38.0|0.5|1.0|0.0|0.0|152|38
mv20190627002|사범|1.8571428571428572|26.0|0.21428571428571427|3.0|||||0|0
mv20190627003|솔져스 메모리|||||||||0|0
mv20190627004|스트롱거|5.16|129.0|1.48|37.0|1.3333333333333333|8.0|0.16666666666666666|1.0|137|38
mv20190627005|트리트 미 라이크 파이어|2.111111111111111|38.0|1.7777777777777777|32.0|||||0|0
mv20190628001|라이딩 업힐|||||||||0|0
mv20190701001|생사결|||||||||0|0
mv20190701002|컨저링 하우스|0.6666666666666666|2.0|2.3333333333333335|7.0|0.5|1.0|0.0|0.0|3|7
mv20190701003|쿵푸 파이터|||||||||0|0
mv20190702001|스파이더맨: 파 프롬 홈|9.432188385269122|106546.0|2.145449716713881|24235.0|2.7177142857142855|2378.0|1.1531428571428572|1009.0|108924|25244
mv20190703001|귀신의 향기|4.784722222222222|689.0|2.8402777777777777|409.0|0.6666666666666666|14.0|0.5714285714285714|12.0|703|421
mv20190704001|13년의 공백|5.0|190.0|6.894736842105263|262.0|0.0|0.0|0.0|0.0|190|262
mv20190704002|갤버스턴|5.089743589743589|397.0|2.217948717948718|173.0|0.6666666666666666|6.0|0.0|0.0|403|173
mv20190704003|동명이인 프로젝트 시즌2|3.1666666666666665|19.0|0.5|3.0|||||0|0
mv20190704004|머메이드: 죽음의 호수|||||||||0|0
mv20190704005|별의 정원|3.5838150289017343|620.0|0.8265895953757225|143.0|1.5714285714285714|11.0|1.8571428571428572|13.0|631|156
mv20190704006|칠드런 액트|7.254237288135593|856.0|1.805084745762712|213.0|1.064516129032258|33.0|0.0967741935483871|3.0|889|216
mv20190704007|한낮의 피크닉|2.9545454545454546|130.0|0.9318181818181818|41.0|1.3636363636363635|15.0|0.2727272727272727|3.0|145|44
mv20190710001|기방도령|16.491347666491873|31449.0|12.346617724174095|23545.0|2.5825242718446604|266.0|2.3300970873786406|240.0|31715|23785
mv20190710002|진범|5.615384615384615|5475.0|4.058461538461539|3957.0|1.0890688259109311|269.0|0.6234817813765182|154.0|5744|4111
mv20190711001|극장판 엉덩이 탐정: 화려한 사건 수첩|10.717111770524234|10835.0|10.212660731948565|10325.0|2.5757575757575757|85.0|4.696969696969697|155.0|10920|10480
mv20190711002|난폭한 기록|5.341708542713568|1063.0|3.3618090452261304|669.0|1.9411764705882353|33.0|0.11764705882352941|2.0|1096|671
mv20190711003|마리아 칼라스: 세기의 디바|1.0|52.0|0.36538461538461536|19.0|0.21428571428571427|3.0|0.0|0.0|55|19
mv20190711004|우리는 언제나 성에 살았다|2.4705882352941178|84.0|1.1176470588235294|38.0|0.0|0.0|0.5|1.0|84|39
mv20190711005|조|4.084615384615384|531.0|1.0076923076923077|131.0|0.09523809523809523|2.0|0.047619047619047616|1.0|533|132
mv20190711006|죽음을 거스른 사나이|||||||||0|0
mv20190712001|벤트: 마약의 도시|0.4|2.0|1.2|6.0|0.0|0.0|0.0|0.0|2|6
mv20190717001|나이트메어 시네마|2.3137254901960786|118.0|1.7843137254901962|91.0|0.0|0.0|1.0|2.0|118|93
mv20190717002|라이온 킹|6.979145211122554|54214.0|2.52832131822863|19640.0|1.5076923076923077|490.0|0.6553846153846153|213.0|54704|19853
mv20190717003|사일런스|8.032338308457712|3229.0|5.211442786069652|2095.0|2.2884615384615383|119.0|0.34615384615384615|18.0|3348|2113
mv20190718001|극장판 샤이닝스타:새로운 루나퀸의 탄생!|4.046511627906977|348.0|1.2674418604651163|109.0|0.5|2.0|0.25|1.0|350|110
mv20190718002|꼬마 물고기 이자벨: 바다 대모험|2.6363636363636362|58.0|0.2727272727272727|6.0|0.0|0.0|0.0|0.0|58|6
mv20190718003|발광하는 현대사|7.271186440677966|429.0|4.423728813559322|261.0|||||0|0
mv20190718004|수영장으로 간 남자들|3.5609756097560976|292.0|0.43902439024390244|36.0|1.1|11.0|0.0|0.0|303|36
mv20190718005|이케아 옷장에서 시작된 특별난 여행|3.8617021276595747|363.0|1.5851063829787233|149.0|0.26666666666666666|4.0|0.13333333333333333|2.0|367|151
mv20190718006|인크레더블 손오공|1.1388888888888888|41.0|0.1388888888888889|5.0|0.0|0.0|0.4|2.0|41|7
mv20190723001|상간녀 살인사건|1.75|7.0|2.25|9.0|0.0|0.0|1.0|1.0|7|10
mv20190724001|나랏말싸미|14.264147843942505|173666.0|7.011088295687885|85360.0|4.771929824561403|1632.0|3.956140350877193|1353.0|175298|86713
mv20190724002|롱 샷|7.19730010384216|6931.0|5.464174454828661|5262.0|1.4473684210526316|165.0|1.8421052631578947|210.0|7096|5472
mv20190724003|명탐정 코난: 감청의 권|12.802440884820747|16784.0|10.138062547673531|13291.0|3.22|161.0|3.22|161.0|16945|13452
mv20190725001|굿바이 썸머|8.925531914893616|839.0|6.24468085106383|587.0|0.0|0.0|1.6|8.0|839|595
mv20190725002|그녀들을 도와줘|2.7333333333333334|41.0|2.8|42.0|||||0|0
mv20190725003|돈 워리|3.7474747474747474|371.0|0.5353535353535354|53.0|0.08333333333333333|1.0|0.0|0.0|372|53
mv20190725004|레드슈즈|11.42751677852349|34054.0|2.998322147651007|8935.0|2.792307692307692|1089.0|1.417948717948718|553.0|35143|9488
mv20190725005|매니페스토|1.25|5.0|0.75|3.0|1.5|3.0|0.0|0.0|8|3
mv20190725006|무간도 외전|2.090909090909091|46.0|0.9545454545454546|21.0|2.0|2.0|0.0|0.0|48|21
mv20190725007|주전장|17.332378223495702|12098.0|3.627507163323782|2532.0|4.54014598540146|622.0|4.043795620437956|554.0|12720|3086
mv20190725008|지구 최후의 밤|4.873015873015873|307.0|3.4444444444444446|217.0|1.0434782608695652|24.0|1.0434782608695652|24.0|331|241
mv20190725009|캘리포니아 타이프라이터|4.0|28.0|1.0|7.0|||||0|0
mv20190725010|쿵푸몬스터: 무림괴수전|0.4117647058823529|7.0|0.7058823529411765|12.0|||||0|0
mv20190725011|파리 에듀케이션|2.0|10.0|0.2|1.0|||||0|0
mv20190731001|데드 돈 다이|5.771739130434782|531.0|2.5652173913043477|236.0|1.7704918032786885|108.0|0.5573770491803278|34.0|639|270
mv20190731002|마이펫의 이중생활 2|3.8176761433868975|6177.0|2.0327564894932015|3289.0|0.8478260869565217|78.0|1.065217391304348|98.0|6255|3387
mv20190731003|사자|9.816371895235333|101570.0|5.273702522470281|54567.0|1.9142857142857144|2211.0|1.431168831168831|1653.0|103781|56220
mv20190731004|엑시트|11.254427645788336|234486.0|5.344756419486441|111358.0|6.327505827505828|27145.0|6.38018648018648|27371.0|261631|138729
mv20190801001|누구나 아는 비밀|2.6944444444444446|388.0|1.3333333333333333|192.0|0.43478260869565216|10.0|0.17391304347826086|4.0|398|196
mv20190801002|동경|||||||||0|0
