title|watcher_score|expert_score|netizen_score
헬보이|7.74|5.40|6.80
12번째 솔저|9.50|7.00|9.20
미성년|8.64|7.15|8.34
바이스|8.73|7.00|8.42
쎈놈|||8.19
아이 엠 마더|8.63|5.25|7.53
원펀치|||
퍼스트 리폼드|8.09|8.14|7.76
필그리미지|7.80|5.00|7.00
벌레스크|||
체크 메이트 캅|||1.50
다시, 봄|8.65||8.03
똑딱똑딱 마법의 시계나라|7.56|7.00|7.83
미이라: 악령의 부활|||
왓칭|8.15|4.00|5.18
요로나의 저주|7.73|4.00|6.79
노무현과 바보들|9.84|6.00|6.76
던전에서 만남을 추구하면 안 되는 걸까? -오리온의 화살-|7.88|5.00|7.57
러브리스|8.23|7.80|8.08
뷰티플 마인드|9.58|6.25|9.79
스탈린이 죽었다!|8.55|7.40|8.18
유랑지구|7.88|5.00|5.85
크게 될 놈|9.12|4.50|8.79
아메리카 뮤직&와일드|6.60|5.25|7.16
어벤져스: 엔드게임|9.50|7.62|9.38
더 캡틴|8.22|7.00|9.04
도우터 오브 마인|8.75|6.75|7.56
베카신!|8.60|5.33|8.85
뽀로로 극장판 보물섬 대모험|9.35|7.00|9.28
스카이 라인: 더 비욘드|||
스피닝 맨|||6.95
안도 타다오|8.50|6.25|8.35
프로스펙트|||
하트스톤|8.74|6.50|8.89
암드|||8.71
나의 특별한 형제|9.14|6.44|8.92
대지진: 엔드 오브 더 월드|||
어글리 돌|8.84|6.00|9.07
에일리언: 지구침공의 날|||
파업전야|9.00|7.71|8.04
프렌즈: 둥지탈출|8.85||8.74
굿바이 마이 러브NK: 붉은 청춘|8.86|7.00|7.00
미스 스티븐스|8.11|6.00|7.93
세계는 오늘부터 너의 것|||
전원사형|||
메기의 추억|||9.91
호텔 뭄바이|9.09|6.20|9.08
걸캅스|9.01|5.17|5.70
고양이 여행 리포트|8.47|5.67|8.71
라플라스의 마녀|7.06|4.20|5.57
매트리악|||6.00
명탐정 피카츄|8.53|5.50|8.09
벤 이즈 백|8.04|6.00|8.60
에이프릴의 딸|8.00|5.67|7.12
우이 러브|||
해안가로의 여행|||
물의 기억|10.0|6.00|7.37
배심원들|||
악인전|8.55|5.71|7.88
각오는 됐나, 거기 여자|||
교회오빠|9.86||9.26
나의 히어로 아카데미아 더 무비: 두 명의 히어로|9.36|6.00|9.39
논-픽션|8.48|7.17|7.74
로지|7.33|7.00|6.64
몬스터 랜드|8.60|5.67|8.29
서스페리아|7.32|7.40|6.83
위대한 전진|||7.00
자칼|||
뷰티풀 보이스|8.00|4.75|5.63
어린 의뢰인|9.14|5.25|9.02
김군|9.39|7.57|8.03
너의 목소리|10.0|6.00|8.50
더 보이|7.00||4.90
돈키호테를 죽인 사나이|7.18|7.00|7.47
로제타|||
비질란테|||
시민 노무현|9.58|6.40|5.70
알라딘|9.42|6.00|9.38
언더 더 씨2|3.00|4.00|2.37
해피타임 스파이|5.33|6.50|7.25
기동전사 건담 내러티브|||
0.0mhz|6.42|3.33|4.98
고질라: 킹 오브 몬스터|8.10|5.20|6.94
보희와 녹양|9.10|6.57|9.11
우리 지금 만나|7.50|7.00|6.69
파리의 딜릴리|9.17|6.67|8.86
