meta_title,sub_title,engl_title,open_dy,dmst_spct_cnt
더 바이 바이 맨,,THE BYE BYE MAN,20190814,
더 보이,,Brightburn,20190523,88081
더 보트,,THE BOAT,20191212,
더 비스트,,The Beast,20190805,
더 빌리지,,Dachra,20191107,292
더 서치,,The Search,20190117,
더 와이프,,The Wife,20190227,7728
더 캡틴,,The Captain,20190425,
더 컨덕터,,The Conductor,20191114,203
더 페이버릿: 여왕의 여자,,THE FAVOURITE,20190221,70982
더 하우스,,,20191212,
던전에서 만남을 추구하면 안 되는 걸까? -오리온의 화살-,,Is It Wrong to Try to Pick Up Girls in a Dungeon? -Arrow of the Orion-,20190418,7526
덤보,,Dumbo,20190327,345522
데드 돈 다이,,The Dead Don't Die,20190731,4150
데드풀 2: 순한맛,,ONCE UPON A DEADPOOL,20190103,
데들리 스토커,,Capture,20190124,
데스티네이션 콘트롤,,Frequencies,20190321,
도신 외전,,Operation Undercover 1: Gambling Gods,20190805,
도심속의 방,,Une chambre en ville,20190822,
도우터 오브 마인,,Daughter of mine,20190425,
도쿄의 밤하늘은 항상 가장 짙은 블루,,The Tokyo Night Sky Is Always the Densest Shade of Blue,20190214,346
돈,,Money,20190320,2669647
돈 겟 아웃!,,Don't Get Out!,20190110,
돈 워리,,"Don't Worry, He Won't Get Far on Foot",20190725,
돈키호테를 죽인 사나이,,The Man Who Killed Don Quixote,20190523,339
동경,,,20190801,
동명이인 프로젝트 시즌2,,TWO PERSON AT THE SAME TOWN SE2,20190704,130
"동물, 원",,"Garden, Zoological",20190905,787
동키 킹,,The Donkey King,20190828,
"두 번째 여름, 두 번 다시 만날 수 없는 너",,"Second Summer, Never See You Again",20190123,
두번할까요,,"LOVE, AGAIN",20191017,1082
드래곤 길들이기 3,,How to Train Your Dragon: The Hidden World,20190130,1464741
드래곤 빌리지,,Family of Mischief,20191212,
드래곤볼 슈퍼: 브로리,,Dragon Ball Super: Broly,20190214,
드레드아웃,,DreadOut,20191112,
디 엔드?,,The End?,20190117,
디스 크레이지 하트,,This Crazy Heart,20190110,
디스트로이어,,Destroyer,20190919,
디아스포라의 노래: 아리랑로드,,,20191212,
디어 마이 프렌드,,Then Came You,20191009,960
디에고,,Diego Maradona,20191212,
디터 람스,,Rams,20190822,5859
딥 스페이스: 외계접촉,,Deep Six,20190816,
똑딱똑딱 마법의 시계나라,,The Angel in the Clock,20190417,
라 파미에,,Lola and Her Brothers,20191212,
라라와 움직이는 비밀의 숲,,Yugo & Lala 4,20190822,712
라멘 덕후,,Ramen Heads,20191212,
라스트 미션,,The Mule,20190314,99299
라스트 씬,,Last Scene,20191212,
라스트 크리스마스,,Last Christmas,20191205,1003
라이딩 업힐,,Riding Uphill,20190628,
라이온 킹,라이온 킹(2019),The Lion King,20190717,4743662
라플라스의 마녀,,Laplace's Witch,20190509,
람보: 라스트 워,,Rambo: Last Blood,20191023,89621
래미의 초특급 시간여행,,pleasant goat and big big wolf amazing pleasant goat,20190227,
러브 앳,,Love at Second Sight,20191127,41702
러브라이브! 선샤인!! 더 스쿨 아이돌 무비 오버 더 레인보우,,Love Live! Sunshine!! The School Idol Movie: Over the Rainbow,20190214,26931
러브리스,,Loveless,20190418,214
레고 무비 2,,The Lego Movie 2: The Second Part,20190206,287
레드 사이렌,,The Red Siren,20191101,
레드슈즈,,Red Shoes,20190725,182
레인보우: 나의 사랑,,Una questione privata,20190103,252
레토,,Summer,20190103,2107
레플리카,,Replicas,20190925,
로망,,Romang,20190403,6372
로빈: 살인자의 유혹,,Robin,20191216,
로슈포르의 숙녀들,,The Young Girls of Rochefort,20190822,
로제타,,Rosetta,20190523,
로지,,Rosie,20190516,
로켓맨,,Rocketman,20190605,401
롤라,,Lola,20190822,
