meta_title,sub_title,engl_title,open_dy,dmst_spct_cnt,nongap_meta_title,nongap_engl_title,nonsc_meta_title,nongap_nonsc_meta_title,nonsc_engl_title,nongap_nonsc_engl_title,meta_title_split_1,meta_title_split_2,meta_title_split_3,meta_title_split_4,meta_title_split_5,meta_title_split_6,meta_title_split_7,meta_title_split_8,meta_title_split_9,meta_title_split_10,meta_title_split_11,kor_eng_title,spare_column_1,spare_column_2,spare_column_3,spare_column_4,spare_column_5
갤버스턴,,Galveston,20190704,2013.0,갤버스턴,Galveston,갤버스턴,갤버스턴,Galveston,Galveston,갤버스턴,,,,,,,,,,,갤버스턴 (Galveston),,,,,
갱스터 파라다이스,,South Wind,20190905,,갱스터파라다이스,SouthWind,갱스터 파라다이스,갱스터파라다이스,South Wind,SouthWind,갱스터,파라다이스,,,,,,,,,,갱스터 파라다이스 (South Wind),,,,,
건달티처,,,20190826,,건달티처,,건달티처,건달티처,,,건달티처,,,,,,,,,,,건달티처 (건달티처),,,,,
걸작,,MASTERPIECE,20190701,,걸작,MASTERPIECE,걸작,걸작,MASTERPIECE,MASTERPIECE,걸작,,,,,,,,,,,걸작 (MASTERPIECE),,,,,
걸캅스,,Miss & Mrs. Cops,20190509,3926.0,걸캅스,Miss&Mrs.Cops,걸캅스,걸캅스,Miss & Mrs Cops,Miss&MrsCops,걸캅스,,,,,,,,,,,걸캅스 (Miss & Mrs. Cops),,,,,
검은 여름,,Black Summer,20190620,,검은여름,BlackSummer,검은 여름,검은여름,Black Summer,BlackSummer,검은,여름,,,,,,,,,,검은 여름 (Black Summer),,,,,
겨울왕국 2,,Frozen 2,20191121,,겨울왕국2,Frozen2,겨울왕국 2,겨울왕국2,Frozen 2,Frozen2,겨울왕국,2,,,,,,,,,,겨울왕국 2 (Frozen 2),,,,,
경계선,,Border,20191024,9335.0,경계선,Border,경계선,경계선,Border,Border,경계선,,,,,,,,,,,경계선 (Border),,,,,
계절과 계절 사이,,Between the Seasons,20191003,151.0,계절과계절사이,BetweentheSeasons,계절과 계절 사이,계절과계절사이,Between the Seasons,BetweentheSeasons,계절과,계절,사이,,,,,,,,,계절과 계절 사이 (Between the Seasons),,,,,
고검기담: 소명신검의 부활,,Legend of the Ancient Sword,20190130,,고검기담:소명신검의부활,LegendoftheAncientSword,고검기담 소명신검의 부활,고검기담소명신검의부활,Legend of the Ancient Sword,LegendoftheAncientSword,고검기담:,소명신검의,부활,,,,,,,,,고검기담: 소명신검의 부활 (Legend of the Ancient Sword),,,,,
고골: 악령과의 전쟁,,Gogol.VIY,20191017,,고골:악령과의전쟁,Gogol.VIY,고골 악령과의 전쟁,고골악령과의전쟁,GogolVIY,GogolVIY,고골:,악령과의,전쟁,,,,,,,,,고골: 악령과의 전쟁 (Gogol.VIY),,,,,
