META_ID,BTV_LIKE_NCNT,BTV_NGOOD_NCNT,BTV_PNT,WATCHA_EVAL_NCNT,WATCHA_RVW_PNT,CINE21_EVAL_NCNT,CINE21_NTNZ_PNT,CINE21_CRTC_PNT
MM1000150275,7,4,,14,1.86,,,
MM1000251079,3,2,,52,1.53,,,
MM1000140786,8,11,,10,1.20,,,
MM1000282513,7,5,,221,2.18,,,
MM1000260823,7,2,,3,2.33,,,
MM1000139052,17,3,,121,2.27,,,
MM1000324057,39,2,,35,3.83,,,
MM1000125585,8,0,,117,2.53,,,
MM1000228485,11,4,,37,2.35,,,
MM1000194144,17,5,,12,2.92,,,
MM1000227593,,,,6,2.33,,,
MM1000335674,9,3,,107,2.26,,,
MM1000287839,2,2,,1,0.50,,,
MM1000239007,15,6,,5,3.70,,,
MM1000232958,0,0,,0,0.00,,,
MM1000326282,6,7,,13,1.69,,,
MM1000313647,4,0,,215,3.40,,,
MM1000327469,,,,36,2.60,,,
MM1000297968,,,,197,3.64,,,
MM1000330411,3,1,,50,3.95,,,
MM1000231356,15,2,,83,3.29,,,
MM1000264987,33,13,,86,2.54,,,
MM1000295741,,,,12,1.63,,,
MM1000318651,9,2,,94,3.14,,,
MM1000337435,13,5,,282,3.18,,,
MM1000252716,11,11,,1,5.00,,,
MM1000319833,2,3,,4,1.00,,,
MM1000318753,25,2,,11,1.45,,,
MM1000328631,15,4,,114,2.64,,,
MM1000322073,27,6,,243,2.61,,,
MM1000142621,2,0,,2,4.00,,,
MM1000322865,,,,54,2.66,,,
MM1000163652,1542,42,,31,2.53,,,
MM1000327294,,,,272,3.05,,,
MM1000334683,31,23,,23,2.52,,,
MM1000182033,33,17,,758,2.20,,,
MM1000145239,1,4,,20,2.83,,,
MM1000321379,11,2,,29,3.09,,,
MM1000167979,19,8,,29,2.79,,,
MM1000351786,30,1,,4,2.88,,,
MM1000225480,,,,799,3.36,,,
MM1000314117,16,5,,54,2.67,,,
MM1000317649,,,,18,1.39,,,
MM1000227660,6,3,,73,1.68,,,
MM1000336070,,,,5,3.50,,,
MM1000193316,,,,21,2.76,,,
MM1000333433,,,,282,3.68,,,
MM1000289600,36,12,,119,2.85,,,
MM1000132673,18,4,,59,2.68,,,
MM1000131455,,,,121,3.38,,,
MM1000124663,9,0,,125,3.33,,,
MM1000194198,5,6,,28,2.11,,,
MM1000356606,8,2,,1610,2.61,,,
MM1000278581,,,,2158,2.95,,,
