META_ID,BTV_LIKE_NCNT,BTV_NGOOD_NCNT,BTV_PNT,WATCHA_EVAL_NCNT,WATCHA_RVW_PNT,CINE21_EVAL_NCNT,CINE21_NTNZ_PNT,CINE21_CRTC_PNT
MM1000278658,29,3,,2597,3.56,3,,5.67
MM1000279868,177,32,,3853,3.85,5,8,8.33
MM1000282504,15,5,,401,3.39,3,,7
MM1000285190,28529,3358,,31164,3.35,8,6.25,6.75
MM1000287791,16,10,,104,1.67,1,,4
MM1000287856,3,4,,25,2.22,1,,3
MM1000299744,34934,665,,24380,3.06,8,5.5,5.17
MM1000307023,73,4,,4629,4.17,3,,6.67
MM1000308472,11866,533,,27255,3.11,4,6.5,6
MM1000315149,3,2,,1197,3.18,4,,6.25
MM1000315302,10,2,,105,2.40,1,,5
MM1000320979,9691,584,,4576,2.52,3,5,5
MM1000323761,11,0,,510,3.61,2,,6
MM1000324694,5674,1723,,3597,1.96,4,7.5,3.5
MM1000335054,22392,986,,19062,3.04,6,5,6
MM1000336051,2630,83,,4058,3.49,2,8.5,
MM1000336626,20,5,,278,2.22,3,10,4
MM1000336679,17,8,,480,2.80,3,,6.33
MM1000337163,1,0,,12,3.04,2,,5
MM1000343211,47211,5003,,34157,2.66,11,4.57,5.75
MM1000343217,18291,719,,8942,3.17,7,8.5,5.33
MM1000127725,11,3,,273,2.89,1,,4
MM1000128121,63,7,,329,2.29,2,2,3
MM1000128477,2364,136,,5444,3.48,5,5,6.25
MM1000136879,35,1,,474,3.87,1,,7
MM1000163226,27,2,,321,3.15,2,,5.5
MM1000164234,,,,35,2.66,1,,6
MM1000166408,16651,192,,26140,3.75,4,7,6.67
MM1000168035,8,4,,921,2.83,4,5,6.33
MM1000176357,466,95,,10856,3.61,5,,5.6
MM1000182787,2956,486,,22747,3.29,7,6.5,6.2
MM1000191569,126,4,,776,3.58,1,,7
MM1000199551,161,55,,2955,2.73,3,5,5
MM1000199742,232,28,,2118,3.50,4,,6
MM1000200340,93,12,,5059,3.67,5,7.5,7.67
MM1000205076,4,0,,120,3.43,2,,6
MM1000209677,66,15,,516,2.63,2,,3.5
MM1000213689,25294,1430,,120067,3.52,11,7.75,7
MM1000216424,63,15,,573,3.35,3,,7
MM1000217297,104,3,,741,2.91,3,,5.67
MM1000218691,1,1,,676,3.73,13,7.57,7.67
MM1000220337,70,4,,1326,3.27,4,7,6
MM1000226188,,,,439,3.48,2,,5.5
MM1000227591,8,2,,1398,3.20,4,6,7
MM1000229143,8140,173,,12257,3.66,4,8,6.33
MM1000229624,88,5,,2507,3.47,4,9,7
MM1000238224,271,45,,1502,3.12,2,,5.5
MM1000242299,7963,712,,7414,2.70,7,5.33,5.25
MM1000244895,5091,54,,5515,3.47,4,7,5.67
MM1000245907,38,5,,352,2.77,4,,5.5
MM1000250334,8,1,,1302,3.17,2,,6.5
MM1000259292,13,2,,155,3.70,2,7,6
MM1000263167,201,28,,115,3.03,1,,6
MM1000266962,4607,949,,2614,2.13,3,,4.67
MM1000267010,69915,1554,,148317,4.18,16,8.5,7.17
MM1000269542,,,,163,3.86,1,,6
MM1000278899,7610,461,,20988,3.37,5,7,5.5
MM1000299141,221,38,,195,2.76,1,,6
MM1000305019,7,2,,59,3.60,1,,5
MM1000308558,13813,359,,8005,3.18,4,5.5,5
MM1000308627,1171,2185,,48151,3.34,10,6,7.22
MM1000309042,12417,4851,,12854,2.27,4,5,4.33
MM1000313629,6,0,,1709,3.80,3,9.33,
MM1000315817,2807,472,,11668,2.89,5,6.5,7
MM1000316092,6513,902,,3685,2.75,2,5,4
MM1000316968,34416,7103,,25976,2.62,6,5.67,5.33
MM1000317129,1293,55,,76283,3.93,10,9,7.83
MM1000322175,3,5,,113,3.39,3,,6
MM1000322684,295,123,,1637,2.54,5,6,5
MM1000324842,35,1,,615,3.50,2,,6
MM1000326525,21,1,,859,3.36,2,8,6
MM1000326603,244,14,,851,3.27,2,10,4
MM1000327645,26,2,,145,3.73,1,,6
MM1000327709,18,1,,384,2.99,3,,5.67
MM1000328551,15,10,,126,2.94,2,,6.5
MM1000328664,4,1,,1423,3.67,6,7.67,7.33
MM1000328768,6262,482,,1540,2.63,3,5,3
MM1000329488,405,46,,796,3.53,4,7,6.33
MM1000329749,394,30,,1010,3.08,1,,7
MM1000329769,9,4,,315,3.02,2,,6
MM1000330551,29,7,,356,2.37,1,,6
MM1000332063,2957,633,,25206,3.47,10,7.4,7.2
MM1000334281,3114,552,,3123,2.99,3,8,7
MM1000334370,51,10,,236,2.45,2,10,2
MM1000334892,21,1,,268,3.59,4,10,6.33
MM1000337158,47,4,,1034,3.52,6,9,6.25
MM1000337386,11904,320,,1931,2.53,5,8,5
MM1000337452,42,36,,232,2.91,2,,5.5
MM1000341945,728,18,,2160,3.33,6,9,6.75
MM1000346889,12925,614,,7522,2.80,4,5.5,6.5
MM1000353653,8,0,,133,3.61,4,10,6.33
MM1000124698,2999,834,,883,2.64,1,,7
MM1000129479,13,3,,343,3.71,2,,7
