META_ID,PRIZE_YN,PRIZE_CNT
MM1000124663,N,0
MM1000369291,Y,2
MM1000193320,Y,6
MM1000327905,Y,1
MM1000245907,Y,1
MM1000264507,Y,2
MM1000251110,Y,2
MM1000351758,Y,1
MM1000326276,Y,12
MM1000324842,Y,2
MM1000273546,Y,21
MM1000328823,N,0
MM1000327299,N,0
MM1000183639,N,0
MM1000335736,N,0
MM1000314049,N,0
MM1000213689,N,0
MM1000129479,N,0
MM1000320434,N,0
MM1000334787,N,0
MM1000337163,N,0
MM1000160235,N,0
MM1000315817,N,0
MM1000126745,N,0
MM1000235938,N,0
MM1000126856,N,0
MM1000352096,N,0
MM1000149867,N,0
MM1000179986,N,0
MM1000297808,N,0
MM1000179222,N,0
MM1000260571,N,0
MM1000269542,N,0
MM1000128121,N,0
MM1000131477,N,0
MM1000323761,N,0
MM1000229143,N,0
MM1000181337,N,0
MM1000326318,N,0
MM1000173134,N,0
MM1000285190,N,0
MM1000128477,N,0
MM1000151578,N,0
MM1000218824,N,0
MM1000255539,N,0
MM1000340383,N,0
MM1000218541,N,0
MM1000168568,N,0
MM1000314165,N,0
MM1000184271,N,0
MM1000322083,N,0
MM1000307023,N,0
MM1000325247,N,0
MM1000334370,N,0
MM1000166215,N,0
MM1000343909,N,0
MM1000325679,N,0
MM1000337452,N,0
MM1000235736,N,0
MM1000282513,N,0
MM1000139052,N,0
MM1000287839,N,0
MM1000341148,N,0
MM1000326525,N,0
MM1000231990,N,0
MM1000231356,N,0
MM1000338484,N,0
MM1000322073,N,0
MM1000320025,N,0
MM1000182033,N,0
MM1000335709,N,0
MM1000132673,N,0
MM1000228470,N,0
MM1000255524,N,0
MM1000341957,Y,2
MM1000295628,Y,1
MM1000334701,Y,1
MM1000205038,Y,4
MM1000144881,Y,5
MM1000205095,Y,3
MM1000323701,Y,1
MM1000311677,Y,1
MM1000326559,Y,1
MM1000315149,Y,1
MM1000210407,Y,1
MM1000210517,Y,2
MM1000293549,Y,1
MM1000256327,Y,2
MM1000320822,Y,1
MM1000316522,Y,2
MM1000204996,Y,4
MM1000329488,Y,4
MM1000328551,Y,2
MM1000128246,Y,2
MM1000319227,Y,2
MM1000329940,Y,12
MM1000167168,Y,5
MM1000265716,N,0
MM1000354209,N,0
MM1000337158,N,0
MM1000333615,N,0
MM1000132474,N,0
MM1000160738,N,0
MM1000227536,N,0
MM1000243861,N,0
MM1000316917,N,0
MM1000254416,N,0
MM1000264533,N,0
MM1000336051,N,0
MM1000155464,N,0
MM1000322137,N,0
MM1000337203,N,0
MM1000324156,N,0
MM1000238946,N,0
MM1000269035,N,0
MM1000299120,N,0
MM1000326603,N,0
MM1000335054,N,0
MM1000258235,N,0
MM1000265943,N,0
MM1000319481,N,0
MM1000173105,N,0
MM1000334892,N,0
MM1000264495,N,0
MM1000200785,N,0
MM1000316968,N,0
MM1000343217,N,0
MM1000336679,N,0
MM1000176357,N,0
MM1000314766,N,0
MM1000150273,N,0
MM1000356552,N,0
MM1000249360,N,0
MM1000235768,N,0
MM1000273630,N,0
