META_ID,PRS_ID,PRS_NM,PRS_ROLE_NM,FILMOGRAPHY
MM1000151578,MP0000135688,조성규,감독(연출),재혼의 기술|발광하는 현대사|각자의 미식|늦여름|딥|게스트하우스
MM1000152655,MP0000147851,이병헌,감독(연출),극한직업|바람 바람 바람|바람 바람 바람
MM1000152744,MP1000005184,더그 바이로,감독(연출),허비 행콕: 무한한 가능성
MM1000152870,MP0000142886,야마모토 야스이치로,감독(연출),명탐정 코난: 전율의 악보|명탐정 코난: 감벽의 관
MM1000154729,MP0000145309,딜런 복스,감독(연출),트라이아스기 월드: 잃어버린 세계
MM1000154912,MP1000002200,토마스 자보,감독(연출),슈퍼미니 2
MM1000155464,MP0000007237,마이크 미첼,감독(연출),레고 무비 2|트롤 1
MM1000155884,MP0000149274,마이클 노어,감독(연출),빠삐용
MM1000156677,MP1000005244,박호찬,감독(연출),"어쩌다, 결혼"
MM1000156850,MP0000028740,롭 마샬,감독(연출),메리 포핀스 리턴즈
MM1000156905,MP1000005267,웨이밍 황,감독(연출),래미의 초특급 시간여행
MM1000158184,MP0000157289,에르네스토 콘트레라스,감독(연출),"나는 다른 언어로 꿈을 꾼다|은밀한 계절, 봄"
MM1000158330,MP0000004727,라스 폰 트리에,감독(연출),살인마 잭의 집
MM1000158332,MP0000034584,조지 루크,감독(연출),"메리, 퀸 오브 스코틀랜드"
MM1000158790,MP0000090405,크리스토퍼 랜던,감독(연출),해피 데스데이 2 유|해피 데스데이|해피 데스데이
MM1000159247,MP0000004901,피터 패럴리,감독(연출),그린 북
MM1000160208,MP0000056409,크리스토퍼 부,감독(연출),미결처리반 Q 4: 순수의 배신
MM1000160235,MP1000005306,브라이언 크라노,감독(연출),퍼미션
MM1000160436,MP1000005314,린 사우더랜드,감독(연출),신데렐라:마법 반지의 비밀
MM1000160568,MP0000026240,이한,감독(연출),증인
MM1000160738,MP1000005334,저스틴 루이스,감독(연출),타임 트랩 킬러
MM1000163157,MP0000115129,최창환,감독(연출),파도를 걷는 소년|내가 사는 세상
MM1000163168,MP0000054996,크리스찬 카리온,감독(연출),몽 가르송
MM1000163226,MP0000050985,한스 바인가르트너,감독(연출),에브리타임 룩 앳 유
MM1000163652,MP1000005399,라파엘 리바스,감독(연출),리노
MM1000164234,,,,
MM1000166215,MP1000000569,크리스토퍼 포베스,감독(연출),무법자 난공불락 대열차|치트 더 행맨|최후의 배틀
MM1000166408,MP0000026267,딘 데블로이스,감독(연출),드래곤 길들이기 3
MM1000167168,MP0000150699,장재현,감독(연출),사바하
MM1000167934,MP0000051962,비욘 룬게,감독(연출),더 와이프
MM1000167979,MP1000005489,칸 에므레,감독(연출),울프 SWAT
MM1000168024,MP1000005493,바네사 필류,감독(연출),엔젤페이스
MM1000168035,MP0000045528,파올로 소렌티노,감독(연출),그때 그들
MM1000168568,,,,
MM1000168866,MP0000157488,츠키카와 쇼,감독(연출),너는 달밤에 빛나고|철벽선생|너의 췌장을 먹고 싶어|너와 100번째 사랑
MM1000170109,MP1000005558,다렌 폴 피셔,감독(연출),데스티네이션 콘트롤
